,Company,Classification,Industry,Sector,Full Time Employees,City,State,Country
AABA,Altaba,Technology,NA,Financial Services,50,New York,NY,United States
AAPL,Apple,Technology,Consumer Electronics,Technology,150000,Cupertino,CA,United States
AMZN,Amazon,Technology,Internet Retail,Consumer Cyclical,1525000,Seattle,WA,United States
AXP,American Express,Finance,Credit Services,Financial Services,74600,New York,NY,United States
BA,Boeing,Aerospace,Aerospace & Defense,Industrials,171000,Arlington,VA,United States
CAT,Caterpillar,Construction,Farm & Heavy Construction Machinery,Industrials,113200,Irving,TX,United States
MMM,3M,Manufacturing,Conglomerates,Industrials,85000,Saint Paul,MN,United States
CVX,Chevron,Energy,Oil & Gas Integrated,Energy,45600,San Ramon,CA,United States
CSCO,Cisco Systems,Information Technology,Communication Equipment,Technology,84900,San Jose,CA,United States
KO,Coca-Cola,Consumer Goods,Beverages - Non-Alcoholic,Consumer Defensive,79100,Atlanta,GA,United States
DIS,Walt Disney,Entertainment,Entertainment,Communication Services,173250,Burbank,CA,United States
XOM,Exxon Mobil,Energy,Oil & Gas Integrated,Energy,62000,Spring,TX,United States
GE,General Electric,Industrial,Aerospace & Defense,Industrials,125000,Evendale,OH,United States
GS,Goldman Sachs,Finance,Capital Markets,Financial Services,44400,New York,NY,United States
HD,Home Depot,Retail,Home Improvement Retail,Consumer Cyclical,465000,Atlanta,GA,United States
IBM,IBM,Technology,Information Technology Services,Technology,282200,Armonk,NY,United States
INTC,Intel,Information Technology,Semiconductors,Technology,130700,Santa Clara,CA,United States
JNJ,Johnson & Johnson,Pharmaceutical,Drug Manufacturers - General,Healthcare,131900,New Brunswick,NJ,United States
JPM,JPMorgan Chase,Finance,Banks - Diversified,Financial Services,311921,New York,NY,United States
MCD,Mcdonald's,Consumer Goods,Restaurants,Consumer Cyclical,100000,Chicago,IL,United States
MRK,Merk,Pharmaceutical,Drug Manufacturers - General,Healthcare,70000,Rahway,NJ,United States
MSFT,Microsoft,Information Technology,Software - Infrastructure,Technology,221000,Redmond,WA,United States
NKE,Nike,Apparel,Footwear & Accessories,Consumer Cyclical,83700,Beaverton,OR,United States
PFE,Pfizer,Pharmaceutical,Drug Manufacturers - General,Healthcare,88000,New York,NY,United States
PG,Procter & Gamble,Consumer Goods,Household & Personal Products,Consumer Defensive,107000,Cincinnati,OH,United States
TRV,Travelers,Insurance,Insurance - Property & Casualty,Financial Services,32967,New York,NY,United States
UTX,United Technologies,Technology/Aerospace,Aerospace & Defense / Building & Industrial Systems,Industrials,240000,Farmington,CT,United States
UNH,UnitedHealth,Healthcare,Healthcare Plans,Healthcare,440000,Minnetonka,MN,United States
VZ,Verizon,Telecommunication,Telecom Services,Communication Services,104400,New York,NY,United States
WMT,Walmart,Retail,Discount Stores,Consumer Defensive,2100000,Bentonville,AR,United States
GOOGL,Google,Technology,Internet Content & Information,Communication Services,180895,Mountain View,CA,United States